COUNTY_NAME,RACE,Franken,Ofm,n,totalDiff,totalDifPct,tractsHighlyVariable,tractsHighlyVariablePct,personsHighlyVariable,personsHighlyVariablePct
Cowlitz,asian,1818.015737673,1755.292955102,6,-62.72278257100015,-0.03450068185398837,25,4.166666666666667,1562.946014422,0.8596988365032082
Douglas,asian,409.606797433,270.746336177,8,-138.860461256,-0.3390091720309247,9,1.125,409.606797433,1.0
Ferry,asian,62.339606501,72.864046465,14,10.524439964000003,0.1688242925279161,3,0.21428571428571427,62.339606501,1.0
Franklin,asian,1808.518526873,1565.844751584,24,-242.67377528899988,-0.13418373750839724,18,0.75,1565.268593644,0.8654976824320464
Garfield,asian,9.0,0.0,23,-9.0,-1.0,1,0.043478260869565216,9.0,1.0
Grant,asian,1173.3503401359999,714.875459545,21,-458.4748805909999,-0.3907399733125396,23,1.0952380952380953,1173.3503401359999,1.0
Grays Harbor,asian,1057.724014337,877.132631225,41,-180.59138311200002,-0.17073582585264255,17,0.4146341463414634,867.321269342,0.8199882555239631
Island,asian,4029.630982293,4434.443934942,54,404.8129526489997,0.10045906298314371,15,0.2777777777777778,2529.480979373,0.6277202529184539
Jefferson,asian,493.54974606400003,470.899270563,115,-22.650475501000017,-0.04589299393148277,5,0.043478260869565216,247.363737938,0.5011931216877248
King,asian,455885.762358626,421889.381013179,20,-33996.38134544698,-0.07457214976304408,341,17.05,327371.159783293,0.7180991090609319
Kitsap,asian,14310.866367539,15229.964704166,4,919.0983366269993,0.06422380819038101,43,10.75,9667.255345923,0.6755185254088465
Kittitas,asian,907.0,594.214518924,3,-312.785481076,-0.34485720074531423,12,4.0,899.0,0.9911797133406836
Klickitat,asian,145.598877666,89.556859653,12,-56.04201801299999,-0.3849069368622395,6,0.5,145.598877666,1.0
Lewis,asian,800.538781839,731.363209701,1,-69.175572138,-0.0864112691443751,17,17.0,712.8051035020001,0.8904067106712084
Lincoln,asian,76.96039604,19.38945803,23,-57.570938010000006,-0.7480592742802107,4,0.17391304347826086,76.96039604,1.0
Mason,asian,779.07098713,781.359777264,19,2.288790133999896,0.0029378454233439143,13,0.6842105263157895,474.677241625,0.6092862517877242
Okanogan,asian,272.864649535,147.888545837,173,-124.976103698,-0.4580150045488742,13,0.07514450867052024,272.864649535,1.0
Pacific,asian,502.88557317899995,395.410189261,57,-107.47538391799992,-0.21371737359374302,9,0.15789473684210525,275.853853646,0.5485419911774065
Pend Oreille,asian,69.0,20.257717852000003,30,-48.742282148,-0.7064098862028986,5,0.16666666666666666,69.0,1.0
Pierce,asian,63496.561350348,64006.4336542,10,509.8723038520038,0.008029919935959012,114,11.4,34470.951822531,0.5428790329658078
San Juan,asian,251.188559633,205.622577552,13,-45.565982081000016,-0.1814015023119459,7,0.5384615384615384,227.551968154,0.9059010031605964
Skagit,asian,2835.227344113,2592.829635495,130,-242.39770861800025,-0.08549498124773282,34,0.26153846153846155,2245.950878316,0.792159007276591
Skamania,asian,120.0,28.168496739,7,-91.831503261,-0.765262527175,5,0.7142857142857143,120.0,1.0
Snohomish,asian,102210.184150037,97013.828198177,9,-5196.355951860009,-0.050839904018098056,120,13.333333333333334,70818.031745665,0.692866687743262
Spokane,asian,12770.538018545,11620.922993491,494,-1149.6150250539995,-0.09002087644111488,97,0.19635627530364372,8870.847099687,0.6946337802530338
Stevens,asian,316.724272692,211.550628569,9,-105.173644123,-0.33206688969265263,15,1.6666666666666667,316.724272692,1.0
Thurston,asian,17308.287066032,18221.853729493,11,913.5666634609988,0.05278203787444103,53,4.818181818181818,13866.187087465,0.8011299462832334
Wahkiakum,asian,43.0,5.617757212,6,-37.382242788,-0.8693544834418604,1,0.16666666666666666,43.0,1.0
Walla Walla,asian,949.8378985100001,792.152065753,3,-157.68583275700007,-0.16601341450405385,12,4.0,841.818867165,0.8862763514548658
Whatcom,asian,10270.588047796,9489.5133638,59,-781.0746839959993,-0.07604965561476422,44,0.7457627118644068,7276.167826421,0.7084470521609927
Whitman,asian,3665.396398492,4874.225760466999,5,1208.8293619749993,0.3297949881961826,11,2.2,3083.1021607029998,0.8411374447717128
Yakima,asian,2859.891941625,2580.15162464,61,-279.74031698499994,-0.09781499535470231,51,0.8360655737704918,2581.765093643,0.9027491759622333
Adams,black,24.0,2.180540761,23,-21.819459239,-0.9091441349583333,6,0.2608695652173913,24.0,1.0
Asotin,black,117.960556845,95.84398860600001,1,-22.11656823899999,-0.18749121596688567,5,5.0,92.195823666,0.7815817942191065
Benton,black,2672.487845254,2438.376237949,6,-234.11160730500023,-0.08760062565700824,36,6.0,1954.847691328,0.7314711252287123
Chelan,black,257.084050359,197.907505373,8,-59.17654498600001,-0.2301836496794106,20,2.5,221.248834532,0.8606089495752124
Clallam,black,574.367363072,334.116358819,14,-240.25100425299996,-0.4182880499477183,22,1.5714285714285714,506.06939582200005,0.8810900973120953
Clark,black,11054.262728582,10121.370158713,24,-932.892569869,-0.08439211124021005,92,3.8333333333333335,8061.938398964,0.7293058430861228
Columbia,black,6.0,0.0,23,-6.0,-1.0,1,0.043478260869565216,6.0,1.0
Cowlitz,black,815.2969554809999,689.940599904,21,-125.35635557699993,-0.15375545650485542,24,1.1428571428571428,558.361597572,0.6848567185469054
Douglas,black,124.213594867,93.66749836,41,-30.546096507,-0.24591588819007143,9,0.21951219512195122,124.213594867,1.0
Ferry,black,21.0,0.0,54,-21.0,-1.0,3,0.05555555555555555,21.0,1.0
Franklin,black,1643.685212334,1042.495402558,115,-601.189809776,-0.36575726621177207,18,0.1565217391304348,1424.904828323,0.866896421304213
Garfield,black,3.0,0.0,20,-3.0,-1.0,1,0.05,3.0,1.0
Grant,black,678.133786847,645.79160476,4,-32.34218208699997,-0.04769292242077445,23,5.75,678.133786847,1.0
Grays Harbor,black,1009.939516131,336.562554557,5,-673.376961574,-0.6667497912683474,20,4.0,1009.939516131,1.0
Island,black,2311.294103899,1999.876197862,12,-311.4179060370002,-0.13473746396516947,16,1.3333333333333333,1442.632938789,0.6241667541812934
Jefferson,black,210.274873033,150.367689105,1,-59.907183927999995,-0.28489939413064497,10,10.0,210.274873033,1.0
King,black,150128.14917592,147199.853660754,23,-2928.2955151660135,-0.019505306175024113,370,16.08695652173913,109587.61034334,0.7299604434270708
Kitsap,black,7518.2404308000005,7270.425462216,19,-247.81496858400078,-0.032961830745499486,41,2.1578947368421053,4710.86402931,0.6265912978801512
Kittitas,black,392.41699782399996,304.680826375,173,-87.73617144899998,-0.22357892735408438,14,0.08092485549132948,392.41699782399996,1.0
Klickitat,black,74.598877666,46.127000929,57,-28.47187673700001,-0.38166628812401904,6,0.10526315789473684,74.598877666,1.0
Lewis,black,534.538781839,357.705890718,30,-176.832891121,-0.33081395986392814,18,0.6,452.699356102,0.8468971223089862
Lincoln,black,15.0,0.0,10,-15.0,-1.0,4,0.4,15.0,1.0
Mason,black,696.4283948489999,618.668809331,13,-77.75958551799988,-0.11165481777183965,19,1.4615384615384615,696.4283948489999,1.0
Okanogan,black,168.729299071,88.90560946000001,130,-79.823689611,-0.4730873064162425,11,0.08461538461538462,152.574928618,0.9042586525165237
Pacific,black,100.0,29.660045476,7,-70.339954524,-0.70339954524,11,1.5714285714285714,100.0,1.0
Pend Oreille,black,72.11629257,42.951699774999994,9,-29.164592795000004,-0.4044105951050002,4,0.4444444444444444,48.770123839,0.6762705361158308
Pierce,black,64207.992540817,62645.818195363,494,-1562.1743454540047,-0.024329904792786208,137,0.2773279352226721,41601.55322121,0.6479186091165193
San Juan,black,54.797139909,52.940825651,11,-1.8563142580000047,-0.03387611581704321,8,0.7272727272727273,54.797139909,1.0
Skagit,black,805.0426270199999,723.642147519,15,-81.40047950099995,-0.1011132538438585,37,2.466666666666667,587.515350526,0.729794088917734
Skamania,black,72.0,4.928380206,6,-67.071619794,-0.9315502749166666,3,0.5,72.0,1.0
Snohomish,black,28921.490042745,24518.363705954,2,-4403.126336791,-0.1522441039615637,146,73.0,24562.282525092,0.849274449165301
Spokane,black,10819.54959688,8008.625582275,59,-2810.9240146050006,-0.2598004648377949,114,1.9322033898305084,9224.541074245,0.8525808760934976
Stevens,black,157.692851223,104.546453928,2,-53.146397294999986,-0.3370247724156085,15,7.5,157.692851223,1.0
Thurston,black,9109.864681282,8389.372398618,61,-720.4922826640013,-0.07908924093509245,45,0.7377049180327869,6663.526773936,0.7314627612007805
Wahkiakum,black,21.0,0.008003249,45,-20.991996751,-0.9996188929047618,1,0.022222222222222223,21.0,1.0
Walla Walla,black,1028.756847766,609.4414214569999,21,-419.31542630900003,-0.40759429909950606,13,0.6190476190476191,995.017892145,0.9672041496547353
Whatcom,black,2316.247973057,2037.621222307,14,-278.6267507499999,-0.12029228044278284,46,3.2857142857142856,2091.646218355,0.9030320771719581
Whitman,black,1176.471745044,786.038928197,193,-390.432816847,-0.33186756799875194,11,0.05699481865284974,1053.000090999,0.8950491972585518
Yakima,black,1754.059083002,1503.335303051,1,-250.7237799510001,-0.14293918738580724,52,52.0,1578.752715447,0.9000567487983526
Adams,hisp,13120.0,13465.415062961,24,345.4150629609994,0.026327367603734712,4,0.16666666666666666,3497.0,0.26653963414634146
Asotin,hisp,915.0,498.618113857,23,-416.381886143,-0.4550621706480874,6,0.2608695652173913,915.0,1.0
Benton,hisp,49339.0,44827.304420579,21,-4511.695579421001,-0.09144278520888142,29,1.380952380952381,27666.0,0.5607328887898012
Chelan,hisp,22104.0,23015.158625426,41,911.1586254260001,0.04122143618467246,13,0.3170731707317073,8926.0,0.40381831342743396
Clallam,hisp,4732.0,3421.38514007,54,-1310.61485993,-0.2769684826563821,22,0.4074074074074074,4456.0,0.9416737109044802
Clark,hisp,58790.0,43997.072219762,115,-14792.927780238002,-0.2516231974866134,99,0.8608695652173913,51022.0,0.8678686851505358
Columbia,hisp,304.0,122.449285304,20,-181.550714696,-0.5972062983421053,1,0.05,304.0,1.0
Cowlitz,hisp,10802.0,9529.173337578,4,-1272.8266624219996,-0.11783249976134046,24,6.0,8512.0,0.7880022218107757
Douglas,hisp,14637.0,13851.804946516,4,-785.1950534839998,-0.05364453463715241,2,0.5,2060.0,0.14073922251827561
Ferry,hisp,210.0,100.942775865,12,-109.057224135,-0.5193201149285714,3,0.25,210.0,1.0
Franklin,hisp,52445.0,51672.658180141,1,-772.3418198590007,-0.014726700731413874,7,7.0,14191.0,0.27058823529411763
Garfield,hisp,110.0,10.723959096,23,-99.276040904,-0.9025094627636363,1,0.043478260869565216,110.0,1.0
Grant,hisp,42401.0,41778.274761364,19,-622.7252386359978,-0.014686569624206924,15,0.7894736842105263,24770.0,0.5841843352751115
Grays Harbor,hisp,7834.0,5715.622518031,173,-2118.3774819689997,-0.2704081544509829,17,0.09826589595375723,5732.0,0.7316824100076589
Island,hisp,7118.0,5311.852197893,57,-1806.1478021069997,-0.2537437204421185,22,0.38596491228070173,7012.0,0.9851081764540601
Jefferson,hisp,1305.0,517.793063387,30,-787.206936613,-0.6032237062168583,10,0.3333333333333333,1305.0,1.0
King,hisp,243021.0,216828.668785623,10,-26192.331214376987,-0.10777805709949752,379,37.9,173206.0,0.7127202998917789
Kitsap,hisp,24184.0,18072.765591998,13,-6111.234408002001,-0.2526974201125538,47,3.6153846153846154,19670.0,0.8133476678795898
Kittitas,hisp,4594.0,3278.518504137,130,-1315.481495863,-0.28634773527710056,13,0.1,3934.0,0.8563343491510667
Klickitat,hisp,2913.0,1991.6919242019999,7,-921.3080757980001,-0.3162746569852386,6,0.8571428571428571,2913.0,1.0
Lewis,hisp,8830.0,6551.782297504,9,-2278.217702496,-0.25800879982967156,18,2.0,7349.0,0.8322763306908267
Lincoln,hisp,385.0,71.695175299,494,-313.30482470100003,-0.8137787654571429,4,0.008097165991902834,385.0,1.0
Mason,hisp,7595.0,5794.847158435,11,-1800.152841565,-0.2370181489881501,17,1.5454545454545454,5962.0,0.7849901250822909
Okanogan,hisp,8197.0,7282.523814209,15,-914.4761857909998,-0.11156230154824934,9,0.6,3320.0,0.40502622910821034
Pacific,hisp,2196.0,1523.2984613029998,6,-672.7015386970002,-0.30633039102777787,11,1.8333333333333333,2196.0,1.0
Pend Oreille,hisp,448.0,122.227463007,3,-325.772536993,-0.7271708415022322,5,1.6666666666666667,448.0,1.0
Pierce,hisp,111811.0,93024.429180262,59,-18786.570819738,-0.16802077451894715,149,2.5254237288135593,85077.0,0.760900090331005
San Juan,hisp,1298.0,945.493729054,5,-352.506270946,-0.2715764799275809,7,1.4,819.0,0.6309707241910631
Skagit,hisp,23792.0,23910.326172891,61,118.32617289100017,0.004973359654127445,31,0.5081967213114754,14887.0,0.6257145258910558
Skamania,hisp,765.0,510.86753852500004,40,-254.13246147499996,-0.3321992960457516,5,0.125,765.0,1.0
Snohomish,hisp,95644.0,85027.362396348,21,-10616.637603651994,-0.1110016059936012,121,5.761904761904762,65775.0,0.6877064949186567
Spokane,hisp,35350.0,21018.2264505,9,-14331.773549500002,-0.40542499432814716,128,14.222222222222221,34708.0,0.9818387553041018
Stevens,hisp,1685.0,591.319019621,193,-1093.680980379,-0.6490688310854599,15,0.07772020725388601,1685.0,1.0
Thurston,hisp,29024.0,23192.648811806,1,-5831.351188193999,-0.20091480113678334,47,47.0,22231.0,0.7659523153252481
Wahkiakum,hisp,183.0,50.049688537,23,-132.950311463,-0.7265044342240436,1,0.043478260869565216,183.0,1.0
Walla Walla,hisp,14206.0,12856.552690653,1,-1349.4473093470006,-0.09499136346241029,9,9.0,8077.0,0.5685625791918908
Whatcom,hisp,22825.0,19049.222935795,6,-3775.777064205002,-0.16542287247338452,41,6.833333333333333,15508.0,0.6794304490690033
Whitman,hisp,4052.0,2445.065366346,8,-1606.9346336540002,-0.39657814256021723,12,1.5,4052.0,1.0
Yakima,hisp,130049.0,130387.619002827,14,338.6190028270066,0.002603780135387482,25,1.7857142857142858,45722.0,0.351575175510769
Adams,multi,332.016129032,23.633611429000002,115,-308.382517603,-0.9288178815351402,7,0.06086956521739131,332.016129032,1.0
Asotin,multi,1157.986078887,388.38704865,20,-769.5990302370001,-0.6646012799883582,6,0.3,1157.986078887,1.0
Benton,multi,9877.960616912,3710.1871563580003,4,-6167.773460553999,-0.6243974540649807,45,11.25,9877.960616912,1.0
Chelan,multi,2809.493705035,732.853173903,5,-2076.640531132,-0.739151160015192,23,4.6,2809.493705035,1.0
Clallam,multi,4891.426086955,2060.837936117,12,-2830.588150838,-0.5786836191569832,24,2.0,4891.426086955,1.0
Clark,multi,31287.991370013,16683.630539015,1,-14604.360830997997,-0.46677208064545467,113,113.0,30979.17734628,0.9901299504950334
Columbia,multi,196.571428571,22.856804847,23,-173.714623724,-0.8837226497606476,1,0.043478260869565216,196.571428571,1.0
Cowlitz,multi,6662.889836293,3042.891765464,19,-3619.9980708290004,-0.5433075076689308,29,1.5263157894736843,6590.01296044,0.9890622721306246
Douglas,multi,1673.096989966,480.571480473,173,-1192.5255094929998,-0.7127653188338077,9,0.05202312138728324,1673.096989966,1.0
Ferry,multi,498.87425149700005,134.925665767,57,-363.94858573000005,-0.7295397279732899,3,0.05263157894736842,498.87425149700005,1.0
Franklin,multi,2562.907083717,842.701343879,30,-1720.2057398380002,-0.6711931738637887,21,0.7,2562.907083717,1.0
Garfield,multi,86.0,8.913182136,10,-77.086817864,-0.8963583472558139,1,0.1,86.0,1.0
Grant,multi,3192.540816326,981.2724765309999,13,-2211.268339795,-0.6926358869045703,23,1.7692307692307692,3192.540816326,1.0
Grays Harbor,multi,4597.493279568,1574.480206492,130,-3023.0130730759997,-0.6575350716684583,20,0.15384615384615385,4597.493279568,1.0
Island,multi,6084.256880733,3283.998823197,6,-2800.258057536,-0.4602465202288828,21,3.5,5539.104315324,0.9103994824519436
Jefferson,multi,1902.811173185,634.7459530369999,9,-1268.065220148,-0.6664167406718885,10,1.1111111111111112,1902.811173185,1.0
King,multi,147976.289680471,94125.322276767,494,-53850.96740370401,-0.3639161890055886,471,0.9534412955465587,142401.158168696,0.9623241566347317
Kitsap,multi,22538.504150572,14192.987037082,11,-8345.51711349,-0.3702782162354905,58,5.2727272727272725,22128.302786226,0.9817999738755693
Kittitas,multi,2349.270050763,761.502590646,15,-1587.7674601170002,-0.6758556597617724,13,0.8666666666666667,2243.2436548240003,0.9548683660677646
Klickitat,multi,1210.915151515,270.86653682,6,-940.048614695,-0.7763125380988805,6,1.0,1210.915151515,1.0
Lewis,multi,4862.733997903,1610.056374559,3,-3252.6776233440005,-0.6688989413664579,21,7.0,4862.733997903,1.0
Lincoln,multi,555.237623761,57.273073452,59,-497.964550309,-0.8968494370679516,4,0.06779661016949153,555.237623761,1.0
Mason,multi,4409.082111436,1936.395342881,5,-2472.6867685549996,-0.5608166747771606,19,3.8,4409.082111436,1.0
