Year,ZipCode,fpPopulation,Population,dif,pctDiff
2019,98232,3809.216,4333.737,-524.521,-0.121
2020,98232,3792.237,4363.142,-570.905,-0.131
2011,98233,15016.74,14683.428,333.312,0.023
2012,98233,15064.814,15004.664,60.15,0.004
2013,98233,15096.531,15008.402,88.129,0.006
2014,98233,15162.067,15025.336,136.731,0.009
2015,98233,15296.951,15123.939,173.012,0.011
2016,98233,15673.101,15464.137,208.964,0.014
2017,98233,15853.703,15625.586,228.117,0.015
2018,98233,16278.171,16014.944,263.227,0.016
2019,98233,16539.463,16260.554,278.908,0.017
2020,98233,16734.21,16433.989,300.22,0.018
2011,98235,157.583,0.0,157.583,inf
2012,98235,164.385,0.0,164.385,inf
2013,98235,170.749,0.0,170.749,inf
2014,98235,178.871,0.0,178.871,inf
2015,98235,188.281,0.0,188.281,inf
2016,98235,201.913,0.0,201.913,inf
2017,98235,216.532,0.0,216.532,inf
2018,98235,233.161,0.0,233.161,inf
2019,98235,253.594,0.0,253.594,inf
2020,98235,188.698,130.98,57.718,0.441
2011,98236,5482.179,5635.641,-153.462,-0.027
2012,98236,5479.834,5657.673,-177.839,-0.031
2013,98236,5524.749,5728.841,-204.092,-0.036
2014,98236,5559.261,5789.893,-230.632,-0.04
2015,98236,5597.914,5852.652,-254.738,-0.044
2016,98236,5783.314,6060.918,-277.605,-0.046
2017,98236,5665.531,5957.981,-292.45,-0.049
2018,98236,5761.24,6087.819,-326.58,-0.054
2019,98236,5835.772,6185.48,-349.708,-0.057
2020,98236,5882.357,6262.078,-379.721,-0.061
2011,98237,4015.989,4175.029,-159.04,-0.038
2012,98237,3982.391,4045.472,-63.081,-0.016
2013,98237,3968.231,4048.737,-80.507,-0.02
2014,98237,3950.612,4076.667,-126.055,-0.031
2015,98237,3938.326,4120.718,-182.393,-0.044
2016,98237,3977.92,4192.386,-214.466,-0.051
2017,98237,4016.321,4274.411,-258.09,-0.06
2018,98237,4030.239,4329.227,-298.987,-0.069
2019,98237,4073.499,4413.886,-340.387,-0.077
2020,98237,4090.798,4464.767,-373.969,-0.084
2011,98239,6553.537,6738.44,-184.903,-0.027
2012,98239,6618.42,6827.386,-208.965,-0.031
2013,98239,6665.156,6896.164,-231.008,-0.033
2014,98239,6696.531,6949.469,-252.938,-0.036
2015,98239,6732.451,7005.425,-272.974,-0.039
2016,98239,6841.62,7137.907,-296.287,-0.042
2017,98239,6760.551,7068.127,-307.577,-0.044
2018,98239,6836.949,7175.27,-338.321,-0.047
2019,98239,6936.664,7288.231,-351.567,-0.048
2020,98239,6986.091,7362.124,-376.034,-0.051
2011,98240,3158.706,3169.884,-11.178,-0.004
2012,98240,3147.751,3229.355,-81.604,-0.025
2013,98240,3094.984,3200.354,-105.37,-0.033
2014,98240,3129.318,3264.857,-135.539,-0.042
2015,98240,3137.623,3305.914,-168.291,-0.051
2016,98240,3145.343,3344.411,-199.069,-0.06
2017,98240,3155.366,3383.287,-227.921,-0.067
2018,98240,3143.069,3408.403,-265.334,-0.078
2019,98240,3175.2,3475.137,-299.938,-0.086
2020,98240,3172.479,3497.95,-325.472,-0.093
2011,98241,2096.257,2108.943,-12.687,-0.006
2012,98241,2098.286,2115.206,-16.92,-0.008
2013,98241,2098.472,2119.21,-20.738,-0.01
2014,98241,2105.184,2127.7,-22.516,-0.011
2015,98241,2115.392,2140.852,-25.46,-0.012
2016,98241,2125.539,2153.251,-27.713,-0.013
2017,98241,2190.343,2220.955,-30.612,-0.014
2018,98241,2200.025,2233.269,-33.243,-0.015
2019,98241,2217.28,2253.923,-36.643,-0.016
2020,98241,2225.407,2266.927,-41.519,-0.018
2011,98244,2968.868,2687.153,281.716,0.105
2012,98244,2971.355,2774.245,197.11,0.071
2013,98244,2970.502,2820.545,149.957,0.053
2014,98244,2961.404,2834.207,127.197,0.045
2015,98244,2963.506,2861.683,101.822,0.036
2016,98244,2976.003,2899.239,76.765,0.026
2017,98244,3005.147,2939.786,65.36,0.022
2018,98244,3006.485,3114.007,-107.522,-0.035
2019,98244,3056.582,3191.533,-134.951,-0.042
2020,98244,3087.695,3235.661,-147.965,-0.046
2011,98245,4741.86,4822.999,-81.138,-0.017
2012,98245,4756.902,4822.186,-65.284,-0.014
2013,98245,4768.396,4827.673,-59.277,-0.012
2014,98245,4794.9,4715.671,79.229,0.017
2015,98245,4814.038,4853.259,-39.22,-0.008
2016,98245,4860.435,4896.725,-36.29,-0.007
2017,98245,4930.499,4952.832,-22.333,-0.005
2018,98245,5003.277,5025.508,-22.232,-0.004
2019,98245,5083.317,5102.053,-18.736,-0.004
2020,98245,5147.019,5179.22,-32.2,-0.006
2011,98247,8210.075,8276.505,-66.43,-0.008
2012,98247,8246.807,8173.979,72.828,0.009
2013,98247,8308.564,8229.717,78.847,0.01
2014,98247,8358.14,8271.683,86.457,0.01
2015,98247,8416.702,8330.813,85.889,0.01
2016,98247,8501.189,8415.843,85.346,0.01
2017,98247,8609.692,8737.158,-127.466,-0.015
2018,98247,8765.236,8753.896,11.34,0.001
2019,98247,8931.444,8925.695,5.749,0.001
2020,98247,9050.825,9026.084,24.741,0.003
2011,98248,22390.267,22476.528,-86.261,-0.004
2012,98248,22753.086,22741.213,11.873,0.001
2013,98248,23304.668,23297.485,7.183,0.0
2014,98248,23795.678,23771.613,24.065,0.001
2015,98248,24190.683,24150.454,40.229,0.002
2016,98248,24684.246,24634.593,49.652,0.002
2017,98248,25118.045,25024.538,93.507,0.004
2018,98248,25510.431,25397.346,113.085,0.004
2019,98248,26546.142,26348.66,197.482,0.007
2020,98248,27057.39,26765.084,292.306,0.011
2011,98249,4608.073,4669.064,-60.991,-0.013
2012,98249,4596.803,4689.355,-92.551,-0.02
2013,98249,4637.016,4753.109,-116.093,-0.024
2014,98249,4676.374,4820.633,-144.259,-0.03
2015,98249,4703.171,4882.279,-179.108,-0.037
2016,98249,4854.423,5077.646,-223.223,-0.044
2017,98249,4768.497,5012.258,-243.761,-0.049
2018,98249,4841.627,5118.689,-277.061,-0.054
2019,98249,4910.404,5231.572,-321.168,-0.061
2020,98249,4976.63,5341.399,-364.769,-0.068
2011,98250,7675.547,7702.003,-26.456,-0.003
2012,98250,7676.439,7685.759,-9.32,-0.001
2013,98250,7749.36,7747.126,2.234,0.0
2014,98250,7808.847,7793.102,15.745,0.002
2015,98250,7868.684,7843.387,25.297,0.003
2016,98250,7961.334,7917.959,43.375,0.005
2017,98250,8038.6,7982.701,55.899,0.007
2018,98250,8218.003,8153.421,64.582,0.008
2019,98250,8410.251,8345.971,64.28,0.008
2020,98250,8512.426,8430.564,81.862,0.01
2011,98251,4750.494,4784.283,-33.789,-0.007
2012,98251,4766.908,4841.168,-74.26,-0.015
2013,98251,4787.461,4868.631,-81.17,-0.017
2014,98251,4812.2,4894.527,-82.327,-0.017
2015,98251,4884.847,4975.794,-90.946,-0.018
2016,98251,4950.494,5037.539,-87.045,-0.017
2017,98251,5024.574,5113.923,-89.349,-0.017
2018,98251,5112.443,5222.618,-110.176,-0.021
2019,98251,5112.402,5238.158,-125.756,-0.024
2020,98251,5168.797,5307.312,-138.514,-0.026
2011,98252,8628.02,8704.295,-76.276,-0.009
2012,98252,8660.502,8767.37,-106.868,-0.012
2013,98252,8688.09,8821.824,-133.734,-0.015
2014,98252,8816.51,8974.087,-157.577,-0.018
2015,98252,8941.611,9119.036,-177.424,-0.019
2016,98252,9023.178,9207.891,-184.713,-0.02
2017,98252,9226.358,9392.611,-166.253,-0.018
2018,98252,9424.171,9600.025,-175.854,-0.018
2019,98252,9781.779,9989.972,-208.193,-0.021
2020,98252,10332.685,10662.8,-330.115,-0.031
2011,98253,1745.657,1784.982,-39.326,-0.022
2012,98253,1750.661,1802.517,-51.856,-0.029
2013,98253,1766.28,1834.452,-68.172,-0.037
2014,98253,1775.886,1859.083,-83.196,-0.045
2015,98253,1782.42,1879.218,-96.798,-0.052
2016,98253,1836.642,1947.41,-110.768,-0.057
2017,98253,1808.995,1927.75,-118.755,-0.062
2018,98253,1846.936,1981.453,-134.517,-0.068
2019,98253,1873.426,2022.442,-149.016,-0.074
2020,98253,1902.774,2072.635,-169.861,-0.082
2011,98255,198.698,0.0,198.698,inf
2012,98255,200.623,0.0,200.623,inf
2013,98255,205.009,0.0,205.009,inf
2014,98255,207.907,0.0,207.907,inf
2015,98255,209.819,0.0,209.819,inf
2016,98255,211.798,0.0,211.798,inf
2017,98255,210.973,0.0,210.973,inf
2018,98255,213.646,208.488,5.157,0.025
2019,98255,216.015,208.489,7.526,0.036
2020,98255,215.759,206.777,8.982,0.043
2011,98256,162.644,0.0,162.644,inf
2012,98256,159.622,0.0,159.622,inf
2013,98256,156.666,0.0,156.666,inf
2014,98256,153.852,0.0,153.852,inf
2015,98256,136.962,0.0,136.962,inf
2016,98256,137.687,0.0,137.687,inf
2017,98256,142.281,0.0,142.281,inf
2018,98256,139.308,0.0,139.308,inf
2019,98256,136.308,162.186,-25.878,-0.16
2020,98256,133.16,162.189,-29.029,-0.179
2011,98257,3969.628,4088.805,-119.177,-0.029
2012,98257,3957.176,4093.736,-136.561,-0.033
2013,98257,3931.103,4094.931,-163.828,-0.04
2014,98257,3932.822,4124.62,-191.797,-0.047
2015,98257,3935.897,4156.667,-220.77,-0.053
2016,98257,3986.237,4239.793,-253.556,-0.06
2017,98257,4042.84,4333.516,-290.676,-0.067
2018,98257,4074.056,4388.075,-314.018,-0.072
2019,98257,4127.204,4472.719,-345.514,-0.077
2020,98257,4123.07,4495.264,-372.194,-0.083
2011,98258,42562.623,30253.714,12308.909,0.407
2012,98258,43263.141,43221.769,41.371,0.001
2013,98258,44013.837,43812.933,200.904,0.005
2014,98258,44628.624,44227.223,401.402,0.009
2015,98258,45906.71,44927.592,979.118,0.022
2016,98258,47495.683,46302.834,1192.849,0.026
2017,98258,48856.759,47537.785,1318.974,0.028
2018,98258,50084.819,48581.778,1503.041,0.031
2019,98258,50966.179,49503.478,1462.7,0.03
2020,98258,51387.456,49688.256,1699.2,0.034
2011,98260,5174.91,5326.172,-151.263,-0.028
2012,98260,5188.177,5379.531,-191.354,-0.036
2013,98260,5203.786,5437.19,-233.404,-0.043
2014,98260,5225.553,5506.37,-280.816,-0.051
2015,98260,5263.219,5591.926,-328.706,-0.059
2016,98260,5406.674,5785.752,-379.078,-0.066
2017,98260,5327.751,5745.434,-417.683,-0.073
2018,98260,5404.231,5771.965,-367.734,-0.064
2019,98260,5470.919,5889.085,-418.166,-0.071
2020,98260,5514.576,5982.766,-468.19,-0.078
2011,98261,2412.649,2649.538,-236.889,-0.089
2012,98261,2444.795,2665.833,-221.038,-0.083
2013,98261,2461.494,2671.262,-209.768,-0.079
2014,98261,2492.372,2688.026,-195.654,-0.073
2015,98261,2517.775,2454.577,63.198,0.026
2016,98261,2545.715,2466.893,78.822,0.032
2017,98261,2602.069,2508.02,94.049,0.037
2018,98261,2657.358,2548.274,109.084,0.043
2019,98261,2723.224,2599.656,123.568,0.048
2020,98261,2761.142,2621.537,139.605,0.053
2011,98262,941.098,971.631,-30.533,-0.031
2012,98262,924.408,978.118,-53.71,-0.055
2013,98262,913.622,986.915,-73.293,-0.074
2014,98262,899.062,991.366,-92.304,-0.093
2015,98262,889.598,1002.252,-112.654,-0.112
2016,98262,880.846,1014.973,-134.127,-0.132
2017,98262,876.464,1032.545,-156.081,-0.151
2018,98262,881.503,1060.654,-179.151,-0.169
2019,98262,886.29,1092.62,-206.33,-0.189
2020,98262,879.233,1104.257,-225.024,-0.204
2011,98263,407.2,0.0,407.2,inf
2012,98263,403.756,0.0,403.756,inf
2013,98263,400.443,0.0,400.443,inf
2014,98263,401.312,0.0,401.312,inf
2015,98263,398.304,0.0,398.304,inf
2016,98263,399.594,0.0,399.594,inf
2017,98263,399.443,0.0,399.443,inf
2018,98263,396.685,0.0,396.685,inf
2019,98263,387.181,0.0,387.181,inf
2020,98263,384.131,449.117,-64.987,-0.145
2011,98264,18927.377,19165.958,-238.582,-0.012
2012,98264,19261.537,19457.371,-195.835,-0.01
2013,98264,19713.591,19872.14,-158.549,-0.008
2014,98264,19981.928,20111.022,-129.093,-0.006
2015,98264,20265.307,20361.195,-95.889,-0.005
2016,98264,20662.282,20716.503,-54.221,-0.003
2017,98264,20973.66,20813.727,159.934,0.008
2018,98264,21864.19,21381.761,482.429,0.023
2019,98264,22290.997,21771.876,519.121,0.024
2020,98264,22665.97,22080.503,585.466,0.027
2011,98266,3875.939,3975.54,-99.601,-0.025
2012,98266,3867.748,3946.854,-79.106,-0.02
2013,98266,3864.883,3941.748,-76.865,-0.02
2014,98266,3885.081,3983.533,-98.451,-0.025
2015,98266,3898.714,4018.093,-119.379,-0.03
2016,98266,3919.008,4063.166,-144.158,-0.035
2017,98266,3981.919,4152.731,-170.812,-0.041
2018,98266,4031.092,4227.373,-196.281,-0.046
2019,98266,4126.217,4335.108,-208.891,-0.048
2020,98266,4203.105,4446.476,-243.371,-0.055
2011,98267,392.143,354.359,37.784,0.107
2012,98267,385.64,354.722,30.918,0.087
2013,98267,381.052,357.742,23.31,0.065
2014,98267,396.704,361.696,35.007,0.097
2015,98267,394.628,365.281,29.347,0.08
2016,98267,400.427,367.301,33.126,0.09
2017,98267,404.728,442.939,-38.211,-0.086
2018,98267,404.194,447.807,-43.613,-0.097
2019,98267,405.912,455.467,-49.555,-0.109
2020,98267,402.834,457.883,-55.049,-0.12
2011,98270,46803.708,46229.606,574.102,0.012
2012,98270,47215.944,46725.916,490.029,0.01
2013,98270,47860.767,47122.713,738.054,0.016
2014,98270,48366.147,47322.47,1043.678,0.022
2015,98270,49421.491,48286.354,1135.138,0.024
2016,98270,50059.364,48654.34,1405.024,0.029
2017,98270,50626.564,48924.904,1701.661,0.035
2018,98270,51281.806,49346.137,1935.668,0.039
2019,98270,51896.964,49827.017,2069.947,0.042
2020,98270,52885.014,50481.478,2403.536,0.048
2011,98271,26743.92,26963.794,-219.874,-0.008
2012,98271,27227.77,27523.731,-295.96,-0.011
2013,98271,27551.442,27818.111,-266.669,-0.01
2014,98271,27991.64,28207.197,-215.557,-0.008
2015,98271,28948.697,29180.668,-231.971,-0.008
2016,98271,29387.863,29573.4,-185.537,-0.006
2017,98271,29925.361,30099.959,-174.597,-0.006
2018,98271,30370.166,30528.129,-157.963,-0.005
2019,98271,30608.861,30747.668,-138.807,-0.005
2020,98271,31143.845,31331.985,-188.14,-0.006
2011,98272,28019.925,28119.755,-99.83,-0.004
2012,98272,28059.183,28203.848,-144.666,-0.005
2013,98272,28130.299,28315.938,-185.638,-0.007
2014,98272,28326.959,28529.132,-202.173,-0.007
2015,98272,28422.388,28676.859,-254.471,-0.009
2016,98272,29024.817,29386.01,-361.193,-0.012
2017,98272,29504.34,29948.701,-444.361,-0.015
2018,98272,30116.824,30562.017,-445.193,-0.015
2019,98272,30601.532,31078.811,-477.279,-0.015
2020,98272,31195.0,31719.228,-524.229,-0.017
2011,98273,29453.905,29407.61,46.295,0.002
2012,98273,29744.518,29583.809,160.708,0.005
2013,98273,30062.001,29766.556,295.445,0.01
2014,98273,30466.652,30042.821,423.831,0.014
2015,98273,30921.728,30376.033,545.695,0.018
2016,98273,31382.428,30708.041,674.387,0.022
2017,98273,32098.373,31335.012,763.361,0.024
2018,98273,32751.554,31922.31,829.245,0.026
2019,98273,33414.321,32368.071,1046.25,0.032
2020,98273,33806.796,32467.154,1339.642,0.041
2011,98274,16357.75,16361.661,-3.911,-0.0
2012,98274,16518.61,16559.715,-41.105,-0.002
2013,98274,16767.291,16847.794,-80.503,-0.005
2014,98274,17032.664,17136.145,-103.481,-0.006
2015,98274,17207.673,17317.801,-110.128,-0.006
2016,98274,17390.158,17515.389,-125.231,-0.007
2017,98274,17646.081,17796.656,-150.574,-0.008
2018,98274,18081.911,18224.846,-142.935,-0.008
2019,98274,18396.78,18625.884,-229.104,-0.012
2020,98274,18607.159,18832.202,-225.043,-0.012
2011,98275,20160.741,20193.655,-32.914,-0.002
2012,98275,20204.0,20246.0,-42.0,-0.002
2013,98275,20287.499,20340.566,-53.067,-0.003
2014,98275,20405.541,20444.948,-39.407,-0.002
2015,98275,20757.461,20800.858,-43.397,-0.002
2016,98275,20932.361,20985.328,-52.967,-0.003
2017,98275,21121.808,21154.323,-32.515,-0.002
2018,98275,21204.813,21233.88,-29.067,-0.001
2019,98275,21214.252,21264.497,-50.245,-0.002
2020,98275,21224.106,21276.611,-52.504,-0.002
2011,98276,1306.589,1193.584,113.005,0.095
2012,98276,1312.027,1346.909,-34.882,-0.026
2013,98276,1336.959,1386.282,-49.323,-0.036
2014,98276,1346.408,1411.348,-64.939,-0.046
2015,98276,1356.776,1435.586,-78.811,-0.055
2016,98276,1357.634,1449.778,-92.143,-0.064
2017,98276,1358.183,1464.46,-106.277,-0.073
2018,98276,1353.218,1474.348,-121.13,-0.082
2019,98276,1430.898,1577.799,-146.901,-0.093
2020,98276,1432.951,1592.962,-160.011,-0.1
2011,98277,37971.558,37851.022,120.535,0.003
2012,98277,38353.384,37923.685,429.699,0.011
2013,98277,38626.122,37878.462,747.66,0.02
2014,98277,38856.009,37781.251,1074.759,0.028
2015,98277,39364.136,37963.774,1400.363,0.037
2016,98277,40442.571,38743.713,1698.859,0.044
2017,98277,40800.771,38850.825,1949.946,0.05
2018,98277,41278.853,38998.311,2280.542,0.058
2019,98277,41958.299,39338.902,2619.397,0.067
2020,98277,42331.906,39368.669,2963.237,0.075
2011,98278,1192.694,1169.519,23.175,0.02
2012,98278,1417.261,1368.596,48.665,0.036
2013,98278,1372.563,1305.357,67.205,0.051
2014,98278,1374.547,1287.472,87.075,0.068
2015,98278,1410.424,1302.601,107.823,0.083
2016,98278,1604.444,1465.612,138.832,0.095
2017,98278,1885.736,1715.568,170.169,0.099
2018,98278,1891.968,1703.023,188.946,0.111
2019,98278,1697.847,1504.349,193.498,0.129
2020,98278,1661.27,1451.923,209.346,0.144
2011,98279,648.837,587.555,61.281,0.104
2012,98279,657.836,605.64,52.196,0.086
2013,98279,662.071,608.777,53.294,0.088
2014,98279,675.866,754.874,-79.008,-0.105
2015,98279,681.289,637.378,43.91,0.069
2016,98279,684.907,638.993,45.914,0.072
2017,98279,697.665,663.268,34.397,0.052
2018,98279,705.095,668.935,36.16,0.054
2019,98279,716.983,678.282,38.7,0.057
2020,98279,723.075,681.409,41.665,0.061
2011,98281,1279.409,1365.871,-86.462,-0.063
2012,98281,1269.034,1417.473,-148.439,-0.105
2013,98281,1255.391,1461.395,-206.004,-0.141
2014,98281,1220.788,1487.509,-266.721,-0.179
2015,98281,1195.788,1526.053,-330.265,-0.216
2016,98281,1169.478,1564.925,-395.447,-0.253
2017,98281,1143.004,1599.674,-456.67,-0.285
2018,98281,1138.465,1660.653,-522.188,-0.314
2019,98281,1146.273,1741.814,-595.541,-0.342
2020,98281,1125.512,1796.033,-670.521,-0.373
2011,98282,15249.544,15680.477,-430.933,-0.027
2012,98282,15237.377,15758.916,-521.539,-0.033
2013,98282,15310.445,15923.953,-613.508,-0.039
2014,98282,15365.525,16070.018,-704.493,-0.044
2015,98282,15397.975,16190.401,-792.426,-0.049
2016,98282,15853.047,16765.871,-912.824,-0.054
2017,98282,15622.508,16590.796,-968.288,-0.058
2018,98282,15938.879,17023.47,-1084.591,-0.064
2019,98282,16147.644,17359.94,-1212.296,-0.07
2020,98282,16362.044,17688.405,-1326.361,-0.075
2011,98283,433.846,397.911,35.934,0.09
2012,98283,432.383,542.914,-110.531,-0.204
2013,98283,427.912,542.541,-114.629,-0.211
2014,98283,424.705,543.799,-119.093,-0.219
2015,98283,424.296,550.197,-125.901,-0.229
2016,98283,405.591,549.162,-143.57,-0.261
2017,98283,407.601,493.4,-85.799,-0.174
2018,98283,411.221,502.335,-91.115,-0.181
2019,98283,412.29,510.447,-98.157,-0.192
2020,98283,414.563,513.522,-98.96,-0.193
2011,98284,24057.755,24771.594,-713.839,-0.029
2012,98284,24131.761,24825.33,-693.569,-0.028
2013,98284,24177.195,24849.625,-672.429,-0.027
2014,98284,24276.405,24940.763,-664.358,-0.027
2015,98284,24504.183,25147.336,-643.152,-0.026
2016,98284,24661.096,25269.986,-608.89,-0.024
2017,98284,24909.728,25398.395,-488.667,-0.019
2018,98284,25437.628,25725.885,-288.257,-0.011
2019,98284,26036.246,26310.662,-274.416,-0.01
2020,98284,26313.372,26093.408,219.964,0.008
2011,98286,241.394,0.0,241.394,inf
2012,98286,241.488,0.0,241.488,inf
2013,98286,240.342,0.0,240.342,inf
2014,98286,239.319,0.0,239.319,inf
2015,98286,237.373,243.248,-5.875,-0.024
2016,98286,238.117,245.058,-6.941,-0.028
2017,98286,238.696,246.818,-8.122,-0.033
2018,98286,244.479,254.274,-9.795,-0.039
2019,98286,249.549,261.313,-11.764,-0.045
2020,98286,249.084,261.83,-12.746,-0.049
2011,98288,297.715,303.418,-5.703,-0.019
2012,98288,301.595,310.217,-8.621,-0.028
2013,98288,293.192,310.95,-17.759,-0.057
2014,98288,297.997,319.343,-21.347,-0.067
2015,98288,289.507,316.314,-26.807,-0.085
2016,98288,290.033,326.733,-36.7,-0.112
2017,98288,288.641,327.062,-38.421,-0.117
2018,98288,290.89,331.193,-40.302,-0.122
2019,98288,287.837,331.12,-43.283,-0.131
2020,98288,287.023,336.403,-49.381,-0.147
2011,98290,32908.535,32981.682,-73.147,-0.002
2012,98290,32963.033,33199.085,-236.052,-0.007
2013,98290,32985.827,33353.361,-367.534,-0.011
2014,98290,33247.643,33733.57,-485.927,-0.014
2015,98290,33782.199,34640.372,-858.173,-0.025
2016,98290,34373.838,35374.673,-1000.835,-0.028
2017,98290,35325.698,36380.936,-1055.238,-0.029
2018,98290,35834.078,37113.345,-1279.267,-0.034
2019,98290,36282.584,37719.253,-1436.669,-0.038
2020,98290,36551.908,38107.1,-1555.192,-0.041
2011,98292,20864.828,21014.203,-149.375,-0.007
2012,98292,20968.2,21146.382,-178.181,-0.008
2013,98292,20998.008,21221.618,-223.61,-0.011
2014,98292,21356.867,21592.609,-235.742,-0.011
2015,98292,21687.05,21988.325,-301.275,-0.014
2016,98292,21980.489,22324.714,-344.226,-0.015
2017,98292,22501.504,22908.2,-406.696,-0.018
2018,98292,22817.729,23295.448,-477.718,-0.021
2019,98292,23301.447,23839.823,-538.376,-0.023
2020,98292,23561.112,24134.014,-572.902,-0.024
2011,98294,6738.774,6960.329,-221.555,-0.032
2012,98294,6732.843,6937.798,-204.955,-0.03
2013,98294,6698.111,6910.815,-212.704,-0.031
2014,98294,6717.445,6930.18,-212.734,-0.031
2015,98294,6765.353,6968.462,-203.109,-0.029
2016,98294,6969.506,7185.719,-216.213,-0.03
2017,98294,7169.568,7413.079,-243.511,-0.033
2018,98294,7198.52,7435.828,-237.309,-0.032
2019,98294,7325.258,7438.203,-112.945,-0.015
2020,98294,7622.47,7808.633,-186.163,-0.024
2011,98295,2376.085,2372.892,3.193,0.001
2012,98295,2433.556,2419.613,13.943,0.006
2013,98295,2496.726,2473.012,23.714,0.01
2014,98295,2529.014,2493.256,35.758,0.014
2015,98295,2541.777,2493.173,48.604,0.019
2016,98295,2609.619,2550.908,58.711,0.023
2017,98295,2683.214,2614.518,68.696,0.026
2018,98295,2728.087,2651.145,76.942,0.029
2019,98295,2772.284,2684.115,88.168,0.033
2020,98295,2848.898,2753.839,95.058,0.035
2011,98296,25202.978,25259.196,-56.217,-0.002
2012,98296,25210.056,25519.391,-309.336,-0.012
2013,98296,25330.053,25769.279,-439.227,-0.017
2014,98296,25366.153,25916.842,-550.688,-0.021
2015,98296,25585.879,26292.919,-707.039,-0.027
2016,98296,25826.466,26752.995,-926.528,-0.035
2017,98296,26253.205,27264.251,-1011.046,-0.037
2018,98296,26611.986,27825.338,-1213.352,-0.044
2019,98296,26712.173,28092.761,-1380.588,-0.049
2020,98296,26759.409,28305.13,-1545.722,-0.055
2011,98303,1025.087,1058.341,-33.254,-0.031
2012,98303,1045.603,1086.096,-40.493,-0.037
2013,98303,1076.707,1129.682,-52.975,-0.047
2014,98303,1093.182,1152.382,-59.2,-0.051
2015,98303,1112.379,1178.746,-66.367,-0.056
2016,98303,1129.903,1201.34,-71.437,-0.059
2017,98303,1170.147,1243.517,-73.37,-0.059
2018,98303,1191.892,1270.875,-78.983,-0.062
2019,98303,1227.791,1316.959,-89.168,-0.068
2020,98303,1249.631,1361.916,-112.285,-0.082
2011,98304,701.957,719.222,-17.265,-0.024
2012,98304,694.055,722.887,-28.832,-0.04
2013,98304,687.438,728.647,-41.209,-0.057
2014,98304,678.863,732.439,-53.576,-0.073
2015,98304,674.932,741.639,-66.706,-0.09
2016,98304,696.496,768.602,-72.106,-0.094
2017,98304,696.39,781.276,-84.886,-0.109
2018,98304,700.136,799.767,-99.631,-0.125
2019,98304,705.506,823.768,-118.262,-0.144
2020,98304,710.62,843.269,-132.649,-0.157
2011,98305,340.408,374.996,-34.588,-0.092
2012,98305,344.762,374.426,-29.664,-0.079
2013,98305,351.929,377.546,-25.617,-0.068
2014,98305,363.711,386.391,-22.681,-0.059
2015,98305,379.147,390.353,-11.206,-0.029
2016,98305,386.421,392.603,-6.182,-0.016
2017,98305,395.248,397.984,-2.736,-0.007
2018,98305,404.596,402.558,2.038,0.005
2019,98305,411.641,404.505,7.136,0.018
2020,98305,416.682,405.193,11.488,0.028
2011,98310,19424.921,19312.884,112.037,0.006
2012,98310,19600.199,19289.593,310.606,0.016
2013,98310,19729.044,19266.374,462.669,0.024
2014,98310,19915.525,19306.209,609.316,0.032
2015,98310,20222.855,19391.311,831.544,0.043
2016,98310,20683.406,19680.361,1003.046,0.051
2017,98310,20942.889,19746.733,1196.156,0.061
2018,98310,21538.657,20130.318,1408.339,0.07
2019,98310,21757.241,20237.809,1519.432,0.075
2020,98310,21877.031,20147.324,1729.707,0.086
2011,98311,25702.625,25652.182,50.443,0.002
2012,98311,25726.065,25492.023,234.043,0.009
2013,98311,26032.051,25672.916,359.135,0.014
2014,98311,26339.109,25821.179,517.931,0.02
2015,98311,26600.173,25884.653,715.52,0.028
2016,98311,26940.519,26075.329,865.19,0.033
2017,98311,27346.476,26344.595,1001.881,0.038
2018,98311,27639.848,26487.112,1152.736,0.044
2019,98311,28027.853,26703.876,1323.977,0.05
2020,98311,28226.219,26766.735,1459.485,0.055
2011,98312,29854.277,30109.654,-255.376,-0.008
2012,98312,30142.954,30288.098,-145.144,-0.005
2013,98312,30426.743,30503.526,-76.783,-0.003
2014,98312,30615.932,30493.509,122.422,0.004
2015,98312,31068.506,30846.853,221.653,0.007
2016,98312,31857.926,31134.357,723.569,0.023
2017,98312,32253.699,31375.395,878.304,0.028
2018,98312,32876.848,31665.442,1211.406,0.038
2019,98312,33503.184,32935.132,568.052,0.017
2020,98312,33761.051,33230.077,530.974,0.016
2011,98314,824.436,667.923,156.513,0.234
2012,98314,1099.354,792.259,307.095,0.388
2013,98314,780.892,434.189,346.703,0.799
2014,98314,1027.043,539.82,487.223,0.903
2015,98314,1320.248,667.844,652.405,0.977
2016,98314,1443.694,669.99,773.704,1.155
2017,98314,1590.714,700.157,890.557,1.272
2018,98314,1665.86,677.49,988.371,1.459
2019,98314,1786.915,685.343,1101.571,1.607
2020,98314,1740.32,584.491,1155.829,1.977
2011,98315,5944.578,5961.901,-17.323,-0.003
2012,98315,5763.013,5787.129,-24.116,-0.004
2013,98315,5700.912,5790.734,-89.822,-0.016
2014,98315,5686.021,5791.547,-105.526,-0.018
2015,98315,5827.019,5956.785,-129.767,-0.022
2016,98315,6610.079,6934.613,-324.534,-0.047
2017,98315,5906.06,6127.259,-221.199,-0.036
2018,98315,5898.298,6184.599,-286.301,-0.046
2019,98315,5761.534,6040.364,-278.83,-0.046
2020,98315,5594.572,5914.32,-319.747,-0.054
