RACE,Franken,Ofm,n,totalDiff,totalDifPct,meanCtDif,meanCtPctDif,tractsHighlyVariable,tractsHighlyVariablePct,personsHighlyVariable,personsHighlyVariablePct
all,7705281.0,7354465.027361196,1771,-350815.97263880447,-0.04552928992969944,-198.08919968313666,-0.04661192457321779,358,0.20214568040654998,1398722.0,0.1815277080745011
aian,92552.475664421,80661.951689777,1769,-11890.523974644006,-0.12847332164033035,-6.72160767363991,0.15945693347133214,1451,0.8202374222724703,75823.039103587,0.8192437701883633
asian,734831.971749736,694736.88345569,1770,-40095.088294046,-0.054563614316581896,-22.652592256515256,-0.06907532045553547,1315,0.7429378531073446,516767.972089082,0.7032464453861287
black,301668.183965988,283492.157910136,1768,-18176.02605585201,-0.06025171702529058,-10.2805577238931,-0.07421420870588305,1432,0.8099547511312217,221233.050184509,0.7333655385065474
hisp,1059213.0,932363.450766712,1771,-126849.54923328804,-0.11975830095862498,-71.62594536041672,-0.20833783298397376,1375,0.7763975155279503,679560.0,0.6415706755864967
multi,496446.799499229,279927.283444761,1771,-216519.516054468,-0.4361384065178252,-122.25833769309372,-0.4774934541035167,1721,0.9717673630717109,481859.374099277,0.9706163371086963
nhpi,64127.757181407,50091.8680795501,1718,-14035.889101856905,-0.21887384993290276,-8.169900524954016,0.23243033543533625,1548,0.9010477299185099,55083.402709473,0.8589634992792747
white,4956439.98022386,5033141.397499964,1771,76701.41727610398,0.0154751026103699,43.30966531682439,0.010692169831308957,414,0.23376623376623376,878572.953292544,0.17725887064062923
