Year,County,AgeCat,fpPopulation,Population,dif,pctDiff
2017,53063,45-64,134013.782,130451.875,3561.907,0.027
2018,53063,45-64,134125.06,130061.411,4063.649,0.031
2019,53063,45-64,133787.949,129257.402,4530.547,0.035
2020,53063,45-64,133602.84,128604.702,4998.138,0.039
2011,53065,45-64,14269.016,14246.347,22.669,0.002
2012,53065,45-64,14014.764,13970.273,44.491,0.003
2013,53065,45-64,13828.607,13762.422,66.185,0.005
2014,53065,45-64,13683.87,13596.109,87.761,0.006
2015,53065,45-64,13552.014,13441.765,110.249,0.008
2016,53065,45-64,13361.127,13226.947,134.181,0.01
2017,53065,45-64,13299.297,13142.56,156.737,0.012
2018,53065,45-64,13192.869,13013.8,179.069,0.014
2019,53065,45-64,13066.991,12866.785,200.206,0.016
2020,53065,45-64,12861.656,12642.363,219.293,0.017
2011,53067,45-64,71907.469,72076.901,-169.432,-0.002
2012,53067,45-64,71608.399,71945.517,-337.119,-0.005
2013,53067,45-64,71596.011,72094.344,-498.333,-0.007
2014,53067,45-64,72112.086,72769.077,-656.991,-0.009
2015,53067,45-64,72701.803,73525.902,-824.099,-0.011
2016,53067,45-64,74160.318,75158.987,-998.669,-0.013
2017,53067,45-64,74684.577,75857.079,-1172.502,-0.015
2018,53067,45-64,74729.259,76070.417,-1341.158,-0.018
2019,53067,45-64,74519.64,76023.876,-1504.237,-0.02
2020,53067,45-64,74607.396,76283.557,-1676.161,-0.022
2011,53069,45-64,1354.047,1354.685,-0.639,-0.0
2012,53069,45-64,1328.062,1329.217,-1.155,-0.001
2013,53069,45-64,1285.944,1287.191,-1.247,-0.001
2014,53069,45-64,1248.14,1249.152,-1.013,-0.001
2015,53069,45-64,1210.919,1212.525,-1.606,-0.001
2016,53069,45-64,1197.29,1200.51,-3.22,-0.003
2017,53069,45-64,1181.908,1186.79,-4.882,-0.004
2018,53069,45-64,1180.309,1183.818,-3.509,-0.003
2019,53069,45-64,1181.946,1187.182,-5.236,-0.004
2020,53069,45-64,1157.554,1163.741,-6.187,-0.005
2011,53071,45-64,15027.042,15023.157,3.884,0.0
2012,53071,45-64,14960.596,14956.678,3.918,0.0
2013,53071,45-64,14957.513,14949.512,8.001,0.001
2014,53071,45-64,15117.104,15101.746,15.358,0.001
2015,53071,45-64,15231.949,15211.813,20.136,0.001
2016,53071,45-64,15292.342,15266.839,25.503,0.002
2017,53071,45-64,15387.503,15360.378,27.125,0.002
2018,53071,45-64,15273.591,15240.664,32.927,0.002
2019,53071,45-64,15118.733,15084.115,34.618,0.002
2020,53071,45-64,14930.066,14893.058,37.008,0.002
2011,53073,45-64,53441.422,53713.832,-272.41,-0.005
2012,53073,45-64,52855.496,53395.512,-540.016,-0.01
2013,53073,45-64,52760.959,53570.41,-809.451,-0.015
2014,53073,45-64,52776.393,53855.282,-1078.888,-0.02
2015,53073,45-64,53014.042,54363.459,-1349.416,-0.025
2016,53073,45-64,53897.89,55534.702,-1636.813,-0.029
2017,53073,45-64,54321.713,56241.275,-1919.562,-0.034
2018,53073,45-64,54359.642,56549.007,-2189.365,-0.039
2019,53073,45-64,54534.809,56991.238,-2456.428,-0.043
2020,53073,45-64,54202.908,56899.768,-2696.86,-0.047
2011,53075,45-64,7328.25,7344.717,-16.467,-0.002
2012,53075,45-64,7215.83,7247.795,-31.965,-0.004
2013,53075,45-64,7092.433,7139.941,-47.508,-0.007
2014,53075,45-64,7040.544,7103.389,-62.846,-0.009
2015,53075,45-64,7176.013,7256.001,-79.989,-0.011
2016,53075,45-64,7463.584,7566.136,-102.552,-0.014
2017,53075,45-64,7415.052,7536.076,-121.023,-0.016
2018,53075,45-64,7256.293,7395.941,-139.648,-0.019
2019,53075,45-64,7148.42,7307.648,-159.228,-0.022
2020,53075,45-64,6919.415,7095.191,-175.776,-0.025
2011,53077,45-64,55988.848,55935.902,52.946,0.001
2012,53077,45-64,55876.714,55772.189,104.525,0.002
2013,53077,45-64,55920.507,55760.523,159.984,0.003
2014,53077,45-64,56381.301,56159.029,222.272,0.004
2015,53077,45-64,56839.928,56551.002,288.926,0.005
2016,53077,45-64,58340.814,57968.753,372.061,0.006
2017,53077,45-64,58991.595,58558.507,433.088,0.007
2018,53077,45-64,59027.339,58548.74,478.599,0.008
2019,53077,45-64,58986.699,58470.703,515.996,0.009
2020,53077,45-64,59170.29,58618.457,551.833,0.009
2011,53001,65+,1904.467,1870.397,34.07,0.018
2012,53001,65+,1934.45,1866.455,67.995,0.036
2013,53001,65+,1957.479,1856.327,101.151,0.054
2014,53001,65+,1992.305,1858.421,133.885,0.072
2015,53001,65+,1932.879,1772.247,160.632,0.091
2016,53001,65+,1947.723,1756.515,191.207,0.109
2017,53001,65+,2052.672,1824.836,227.836,0.125
2018,53001,65+,2150.742,1884.194,266.548,0.141
2019,53001,65+,2247.344,1938.191,309.152,0.16
2020,53001,65+,2342.999,1997.139,345.86,0.173
2011,53003,65+,4210.083,4274.515,-64.432,-0.015
2012,53003,65+,4408.359,4541.252,-132.893,-0.029
2013,53003,65+,4510.235,4708.618,-198.382,-0.042
2014,53003,65+,4643.877,4908.907,-265.03,-0.054
2015,53003,65+,4714.148,5039.296,-325.148,-0.065
2016,53003,65+,4913.709,5303.735,-390.026,-0.074
2017,53003,65+,5073.593,5533.455,-459.862,-0.083
2018,53003,65+,5241.295,5769.286,-527.991,-0.092
2019,53003,65+,5369.6,5960.523,-590.923,-0.099
2020,53003,65+,5535.663,6195.802,-660.139,-0.107
2011,53005,65+,21221.775,21253.514,-31.739,-0.001
2012,53005,65+,22331.962,22400.157,-68.195,-0.003
2013,53005,65+,23661.816,23768.296,-106.48,-0.004
2014,53005,65+,24994.144,25137.326,-143.182,-0.006
2015,53005,65+,26140.02,26318.943,-178.923,-0.007
2016,53005,65+,27389.757,27579.148,-189.392,-0.007
2017,53005,65+,28809.537,29034.739,-225.202,-0.008
2018,53005,65+,30370.847,30624.432,-253.585,-0.008
2019,53005,65+,32021.25,32311.889,-290.638,-0.009
2020,53005,65+,33672.778,33998.982,-326.204,-0.01
2011,53007,65+,11366.691,11507.857,-141.166,-0.012
2012,53007,65+,11746.186,12023.615,-277.428,-0.023
2013,53007,65+,12089.749,12499.272,-409.523,-0.033
2014,53007,65+,12587.197,13128.655,-541.458,-0.041
2015,53007,65+,13068.124,13742.071,-673.946,-0.049
2016,53007,65+,13898.265,14715.996,-817.731,-0.056
2017,53007,65+,14587.282,15557.861,-970.579,-0.062
2018,53007,65+,15319.009,16449.47,-1130.461,-0.069
2019,53007,65+,15892.078,17173.212,-1281.134,-0.075
2020,53007,65+,16813.375,18279.211,-1465.836,-0.08
2011,53009,65+,17776.022,17608.948,167.075,0.009
2012,53009,65+,18584.746,18252.859,331.887,0.018
2013,53009,65+,19410.252,18914.663,495.589,0.026
2014,53009,65+,20101.862,19447.146,654.716,0.034
2015,53009,65+,20740.676,19929.151,811.525,0.041
2016,53009,65+,21717.433,20715.607,1001.826,0.048
2017,53009,65+,22666.848,21492.302,1174.545,0.055
2018,53009,65+,23654.291,22300.697,1353.595,0.061
2019,53009,65+,24593.85,23056.166,1537.685,0.067
2020,53009,65+,25554.547,23832.629,1721.918,0.072
2011,53011,65+,50092.004,50453.703,-361.699,-0.007
2012,53011,65+,52685.777,53407.214,-721.437,-0.014
2013,53011,65+,55449.493,56522.893,-1073.4,-0.019
2014,53011,65+,58912.701,60348.134,-1435.433,-0.024
2015,53011,65+,62695.996,64502.743,-1806.747,-0.028
2016,53011,65+,67546.346,69694.916,-2148.57,-0.031
2017,53011,65+,71916.497,74441.189,-2524.692,-0.034
2018,53011,65+,76115.628,79021.098,-2905.47,-0.037
2019,53011,65+,80346.473,83636.001,-3289.528,-0.039
2020,53011,65+,85251.3,88967.887,-3716.587,-0.042
2011,53013,65+,948.428,962.356,-13.928,-0.014
2012,53013,65+,970.25,998.303,-28.053,-0.028
2013,53013,65+,1003.44,1044.907,-41.467,-0.04
2014,53013,65+,1019.7,1074.202,-54.502,-0.051
2015,53013,65+,1035.947,1101.446,-65.499,-0.059
2016,53013,65+,1071.497,1150.028,-78.53,-0.068
2017,53013,65+,1111.305,1205.949,-94.643,-0.078
2018,53013,65+,1156.217,1266.398,-110.181,-0.087
2019,53013,65+,1183.354,1307.622,-124.268,-0.095
2020,53013,65+,1212.931,1352.93,-139.999,-0.103
2011,53015,65+,16131.744,16210.656,-78.912,-0.005
2012,53015,65+,16726.668,16888.06,-161.392,-0.01
2013,53015,65+,17277.987,17520.364,-242.377,-0.014
2014,53015,65+,17846.053,18166.874,-320.821,-0.018
2015,53015,65+,18457.41,18856.933,-399.523,-0.021
2016,53015,65+,19128.939,19587.79,-458.851,-0.023
2017,53015,65+,19936.704,20470.876,-534.172,-0.026
2018,53015,65+,20939.126,21554.281,-615.155,-0.029
2019,53015,65+,22088.848,22790.626,-701.778,-0.031
2020,53015,65+,23189.255,23977.884,-788.629,-0.033
2011,53017,65+,5521.097,5527.915,-6.818,-0.001
2012,53017,65+,5716.963,5731.368,-14.405,-0.003
2013,53017,65+,5955.777,5977.871,-22.094,-0.004
2014,53017,65+,6179.897,6209.498,-29.601,-0.005
2015,53017,65+,6409.317,6447.624,-38.306,-0.006
2016,53017,65+,6726.123,6767.273,-41.15,-0.006
2017,53017,65+,7057.22,7106.528,-49.308,-0.007
2018,53017,65+,7398.102,7454.788,-56.686,-0.008
2019,53017,65+,7712.368,7774.99,-62.621,-0.008
2020,53017,65+,8093.845,8173.333,-79.488,-0.01
2011,53019,65+,1488.321,1488.439,-0.118,-0.0
2012,53019,65+,1586.834,1585.421,1.413,0.001
2013,53019,65+,1681.926,1679.908,2.019,0.001
2014,53019,65+,1778.608,1777.401,1.207,0.001
2015,53019,65+,1878.231,1875.722,2.509,0.001
2016,53019,65+,1988.812,1988.756,0.056,0.0
2017,53019,65+,2073.962,2076.008,-2.046,-0.001
2018,53019,65+,2164.736,2172.909,-8.173,-0.004
2019,53019,65+,2245.061,2256.886,-11.825,-0.005
2020,53019,65+,2340.795,2356.909,-16.114,-0.007
2011,53021,65+,5944.552,5958.263,-13.711,-0.002
