Year,County,AgeCat,fpPopulation,Population,dif,pctDiff
2019,53043,65+,2972.456,2938.351,34.105,0.012
2020,53043,65+,3083.735,3040.651,43.084,0.014
2011,53045,65+,11569.591,11512.795,56.796,0.005
2012,53045,65+,12162.29,12049.772,112.518,0.009
2013,53045,65+,12765.429,12598.695,166.734,0.013
2014,53045,65+,13287.775,13068.801,218.974,0.017
2015,53045,65+,13794.996,13524.787,270.208,0.02
2016,53045,65+,14326.677,13999.219,327.458,0.023
2017,53045,65+,14979.732,14593.401,386.331,0.026
2018,53045,65+,15615.522,15167.923,447.599,0.03
2019,53045,65+,16298.701,15781.099,517.601,0.033
2020,53045,65+,16917.299,16335.628,581.671,0.036
2011,53047,65+,7221.135,7296.319,-75.184,-0.01
2012,53047,65+,7533.902,7684.015,-150.113,-0.02
2013,53047,65+,7811.537,8034.664,-223.127,-0.028
2014,53047,65+,8107.031,8405.81,-298.779,-0.036
2015,53047,65+,8395.88,8770.404,-374.525,-0.043
2016,53047,65+,8671.511,9112.745,-441.235,-0.048
2017,53047,65+,9058.243,9575.016,-516.773,-0.054
2018,53047,65+,9435.469,10033.489,-598.021,-0.06
2019,53047,65+,9779.702,10457.935,-678.233,-0.065
2020,53047,65+,10218.416,10988.149,-769.733,-0.07
2011,53049,65+,5361.247,5303.507,57.74,0.011
2012,53049,65+,5618.673,5501.548,117.124,0.021
2013,53049,65+,5876.197,5701.686,174.511,0.031
2014,53049,65+,6122.731,5887.448,235.284,0.04
2015,53049,65+,6389.887,6093.195,296.692,0.049
2016,53049,65+,6612.212,6257.634,354.578,0.057
2017,53049,65+,6865.48,6456.671,408.809,0.063
2018,53049,65+,7125.293,6656.841,468.452,0.07
2019,53049,65+,7411.806,6875.294,536.511,0.078
2020,53049,65+,7729.277,7125.412,603.865,0.085
2011,53051,65+,2588.894,2589.573,-0.68,-0.0
2012,53051,65+,2755.246,2757.154,-1.909,-0.001
2013,53051,65+,2893.413,2896.06,-2.647,-0.001
2014,53051,65+,3053.44,3057.405,-3.965,-0.001
2015,53051,65+,3186.914,3194.405,-7.492,-0.002
2016,53051,65+,3344.504,3354.034,-9.53,-0.003
2017,53051,65+,3480.631,3492.286,-11.655,-0.003
2018,53051,65+,3620.346,3634.054,-13.708,-0.004
2019,53051,65+,3784.463,3798.347,-13.884,-0.004
2020,53051,65+,3939.677,3949.282,-9.605,-0.002
2011,53053,65+,90233.366,90335.952,-102.586,-0.001
2012,53053,65+,94527.473,94753.46,-225.987,-0.002
2013,53053,65+,99081.884,99436.938,-355.054,-0.004
2014,53053,65+,103607.616,104095.862,-488.246,-0.005
2015,53053,65+,108323.851,108950.27,-626.419,-0.006
2016,53053,65+,114424.256,115073.248,-648.992,-0.006
2017,53053,65+,120189.721,120927.354,-737.633,-0.006
2018,53053,65+,125938.177,126752.468,-814.291,-0.006
2019,53053,65+,132130.994,133030.593,-899.599,-0.007
2020,53053,65+,138458.707,139464.089,-1005.382,-0.007
2011,53055,65+,3941.658,3903.521,38.136,0.01
2012,53055,65+,4245.491,4169.292,76.198,0.018
2013,53055,65+,4529.147,4414.69,114.457,0.026
2014,53055,65+,4814.378,4661.091,153.287,0.033
2015,53055,65+,5065.733,4874.428,191.305,0.039
2016,53055,65+,5339.041,5105.054,233.987,0.046
2017,53055,65+,5570.633,5297.44,273.193,0.052
2018,53055,65+,5823.411,5514.292,309.119,0.056
2019,53055,65+,6063.954,5717.006,346.949,0.061
2020,53055,65+,6301.496,5918.511,382.985,0.065
2011,53057,65+,19396.934,19356.28,40.654,0.002
2012,53057,65+,20180.847,20104.33,76.516,0.004
2013,53057,65+,21007.726,20892.387,115.339,0.006
2014,53057,65+,21903.324,21749.579,153.745,0.007
2015,53057,65+,22917.863,22727.968,189.895,0.008
2016,53057,65+,24322.395,24071.942,250.453,0.01
2017,53057,65+,25621.961,25325.397,296.564,0.012
2018,53057,65+,27244.066,26892.465,351.601,0.013
2019,53057,65+,28966.052,28562.191,403.862,0.014
2020,53057,65+,30194.17,29737.88,456.29,0.015
2011,53059,65+,1664.778,1683.375,-18.597,-0.011
2012,53059,65+,1757.483,1795.201,-37.718,-0.021
2013,53059,65+,1853.155,1909.148,-55.993,-0.029
2014,53059,65+,1957.709,2032.611,-74.902,-0.037
2015,53059,65+,2063.779,2157.103,-93.324,-0.043
2016,53059,65+,2243.42,2357.601,-114.181,-0.048
2017,53059,65+,2357.68,2491.119,-133.44,-0.054
2018,53059,65+,2481.733,2634.702,-152.969,-0.058
2019,53059,65+,2602.37,2773.892,-171.523,-0.062
2020,53059,65+,2718.846,2908.963,-190.117,-0.065
2011,53061,65+,75124.133,75673.924,-549.79,-0.007
2012,53061,65+,78940.545,80040.67,-1100.125,-0.014
2013,53061,65+,83099.149,84749.807,-1650.658,-0.019
2014,53061,65+,87600.604,89807.026,-2206.422,-0.025
2015,53061,65+,92968.288,95760.072,-2791.784,-0.029
2016,53061,65+,99858.957,103170.198,-3311.24,-0.032
2017,53061,65+,105652.499,109543.391,-3890.892,-0.036
2018,53061,65+,111731.633,116225.671,-4494.038,-0.039
2019,53061,65+,117696.8,122789.542,-5092.742,-0.041
2020,53061,65+,123923.289,129586.473,-5663.184,-0.044
2011,53063,65+,62261.496,62137.407,124.089,0.002
2012,53063,65+,65055.438,64818.208,237.23,0.004
2013,53063,65+,68107.154,67763.898,343.256,0.005
2014,53063,65+,71303.132,70851.951,451.182,0.006
2015,53063,65+,74354.801,73793.273,561.529,0.008
2016,53063,65+,77856.835,77104.589,752.246,0.01
2017,53063,65+,81901.618,81015.85,885.768,0.011
2018,53063,65+,86192.049,85166.325,1025.724,0.012
2019,53063,65+,90339.923,89162.326,1177.597,0.013
2020,53063,65+,94795.793,93457.774,1338.019,0.014
2011,53065,65+,7759.72,7772.191,-12.471,-0.002
2012,53065,65+,8194.877,8219.67,-24.793,-0.003
2013,53065,65+,8606.14,8643.636,-37.496,-0.004
2014,53065,65+,9007.891,9057.264,-49.373,-0.005
2015,53065,65+,9389.857,9450.731,-60.874,-0.006
2016,53065,65+,9818.641,9885.141,-66.5,-0.007
2017,53065,65+,10289.599,10374.426,-84.828,-0.008
2018,53065,65+,10807.73,10903.137,-95.407,-0.009
2019,53065,65+,11351.52,11460.516,-108.996,-0.01
2020,53065,65+,11847.143,11967.358,-120.215,-0.01
2011,53067,65+,34008.52,33846.32,162.2,0.005
2012,53067,65+,36158.851,35841.034,317.818,0.009
2013,53067,65+,38473.021,38000.936,472.086,0.012
2014,53067,65+,40942.167,40311.648,630.519,0.016
2015,53067,65+,43233.645,42445.703,787.942,0.019
2016,53067,65+,46344.302,45340.502,1003.8,0.022
2017,53067,65+,48843.21,47655.575,1187.635,0.025
2018,53067,65+,51459.979,50095.662,1364.317,0.027
2019,53067,65+,53910.803,52377.71,1533.092,0.029
2020,53067,65+,56738.538,55024.307,1714.231,0.031
2011,53069,65+,1056.44,1058.352,-1.912,-0.002
2012,53069,65+,1120.313,1123.645,-3.331,-0.003
2013,53069,65+,1166.917,1172.815,-5.898,-0.005
2014,53069,65+,1209.917,1219.026,-9.109,-0.007
2015,53069,65+,1244.424,1253.842,-9.417,-0.008
2016,53069,65+,1286.099,1300.534,-14.435,-0.011
2017,53069,65+,1344.053,1361.748,-17.695,-0.013
2018,53069,65+,1407.341,1428.963,-21.622,-0.015
2019,53069,65+,1484.902,1506.692,-21.791,-0.014
2020,53069,65+,1533.874,1558.973,-25.099,-0.016
2011,53071,65+,8907.387,8957.108,-49.721,-0.006
2012,53071,65+,9181.413,9279.557,-98.144,-0.011
2013,53071,65+,9552.04,9700.371,-148.331,-0.015
2014,53071,65+,10089.63,10290.712,-201.081,-0.02
2015,53071,65+,10503.122,10753.167,-250.045,-0.023
2016,53071,65+,10637.696,10919.787,-282.091,-0.026
2017,53071,65+,11217.353,11561.258,-343.904,-0.03
2018,53071,65+,11627.914,12019.885,-391.971,-0.033
2019,53071,65+,12099.098,12547.637,-448.539,-0.036
2020,53071,65+,12560.283,13065.916,-505.633,-0.039
2011,53073,65+,27367.862,27440.01,-72.148,-0.003
2012,53073,65+,28806.645,28957.122,-150.477,-0.005
2013,53073,65+,30410.505,30639.579,-229.073,-0.007
2014,53073,65+,31938.412,32240.822,-302.411,-0.009
2015,53073,65+,33562.098,33940.776,-378.678,-0.011
2016,53073,65+,35690.809,36110.653,-419.844,-0.012
2017,53073,65+,37762.798,38246.933,-484.135,-0.013
2018,53073,65+,40038.624,40594.521,-555.898,-0.014
2019,53073,65+,42533.123,43170.943,-637.82,-0.015
2020,53073,65+,44553.796,45271.889,-718.093,-0.016
2011,53075,65+,4035.169,3996.479,38.689,0.01
2012,53075,65+,4162.07,4085.13,76.94,0.019
2013,53075,65+,4287.431,4173.964,113.466,0.027
2014,53075,65+,4432.176,4281.822,150.355,0.035
2015,53075,65+,4673.193,4480.889,192.305,0.043
2016,53075,65+,5011.785,4769.977,241.808,0.051
2017,53075,65+,5191.899,4907.116,284.783,0.058
2018,53075,65+,5333.462,5006.63,326.831,0.065
2019,53075,65+,5549.46,5174.215,375.245,0.073
2020,53075,65+,5636.944,5217.854,419.09,0.08
2011,53077,65+,28913.462,28928.531,-15.069,-0.001
2012,53077,65+,30079.954,30115.44,-35.485,-0.001
2013,53077,65+,31329.079,31404.461,-75.382,-0.002
2014,53077,65+,32541.996,32642.182,-100.187,-0.003
2015,53077,65+,33946.337,34077.036,-130.699,-0.004
2016,53077,65+,34470.932,34578.958,-108.026,-0.003
2017,53077,65+,35533.662,35651.317,-117.655,-0.003
2018,53077,65+,36458.518,36589.391,-130.874,-0.004
2019,53077,65+,37462.621,37595.643,-133.022,-0.004
2020,53077,65+,38616.64,38779.237,-162.597,-0.004
